GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
explodingkittens,transmission.network,Client.new Runnable() {...},113,0,12,0,29,0,8,0,2,0
explodingkittens,transmission.network,Server,148,0,10,0,36,0,10,0,5,0
explodingkittens,transmission.network,Client,51,0,0,0,13,0,5,0,5,0
explodingkittens,factory,CardsFactory,3,45,0,9,1,10,1,9,1,1
explodingkittens,factory,MessageFactory,95,0,20,0,18,0,17,0,2,0
explodingkittens,game.cards,Attack,57,0,2,0,16,0,6,0,5,0
explodingkittens,game.cards,ExplodingKitten,86,0,4,0,21,0,7,0,5,0
explodingkittens,game.cards,CatCard,6,25,0,0,2,9,2,3,2,3
explodingkittens,game.cards,Nope,6,25,0,0,2,9,2,3,2,3
explodingkittens,game.cards,Shuffle,31,0,0,0,11,0,5,0,5,0
explodingkittens,game.cards,SeeTheFuture,30,0,0,0,11,0,5,0,5,0
explodingkittens,game.cards,Favor,86,0,6,0,27,0,8,0,5,0
explodingkittens,game.cards,Skip,43,0,2,0,13,0,6,0,5,0
explodingkittens,game.cards,Defuse,138,0,6,0,34,0,8,0,5,0
explodingkittens,game,GameLogic,1268,0,155,0,290,0,107,0,26,0
explodingkittens,game,RunGame,282,0,36,0,92,0,28,0,7,0
explodingkittens,transmission.messages,RhetoricalQuestion,144,0,28,0,39,0,21,0,7,0
explodingkittens,transmission.messages,ClosedQuestion,144,0,28,0,39,0,21,0,7,0
explodingkittens,transmission.messages,Information,71,0,14,0,24,0,14,0,7,0
explodingkittens,transmission.messages,Choice,15,0,0,0,6,0,3,0,3,0
explodingkittens,utility,interactableCardThread,26,0,2,0,10,0,3,0,2,0
explodingkittens,game.decks,MainDeck,337,0,48,0,66,0,34,0,10,0
explodingkittens,game.decks,Hand,147,0,16,0,37,0,20,0,12,0
explodingkittens,game.decks,DiscardPile,23,17,4,0,5,6,4,3,2,3
explodingkittens,player,Player,309,0,38,0,89,0,34,0,15,0
